epoch,train_mse,val_monitor_mse,lr
1,0.010350411031454735,0.00261807136121206,0.001
2,0.002249426294653098,0.002408196982287336,0.001
3,0.0020464817401219114,0.0022010856246197363,0.001
4,0.0019534876648994322,0.002189290837122826,0.001
5,0.0019151611103455737,0.0021141600627743173,0.001
6,0.0018253262648642895,0.0018855807820727932,0.001
7,0.0016147126192362113,0.0017250507899007061,0.001
8,0.0015465313545697285,0.0016652757021802245,0.001
9,0.0014971728257574773,0.0015869318840486812,0.001
10,0.0014445170981306624,0.0016158252974491916,0.001
11,0.0014393912553984168,0.0015891332923274604,0.001
12,0.0014081170999362355,0.0015020168930277578,0.001
13,0.001358463680780398,0.0014992304022598546,0.001
14,0.0013507132055553903,0.001506455613707658,0.001
15,0.001341398686760469,0.0014360769737322698,0.001
16,0.001299423542487858,0.0014374195870914264,0.001
17,0.0012951762856742014,0.0014251695711209322,0.001
18,0.0012824140751987645,0.001427788986802625,0.001
19,0.0012875304070539737,0.0013942176001364714,0.001
20,0.0012336027900543395,0.0013587928369815927,0.001
21,0.0012328888485192125,0.0013878427735107834,0.001
22,0.001215996600109635,0.0013302921015565516,0.001
23,0.0011888947837933612,0.0014750108111911686,0.001
24,0.00118999121349304,0.0013294473401401774,0.001
25,0.0011882775135328917,0.0013809372394462116,0.001
26,0.0011849755092157828,0.001332291974904365,0.001
27,0.001186596695934831,0.0013336969896045048,0.001
28,0.0011858808835107353,0.001370769781715353,0.0005
29,0.0011501635226225497,0.0013194261064199964,0.0005
30,0.0011533060578426944,0.0013272271489768173,0.0005
31,0.0011536426382677005,0.0013151809098417289,0.0005
32,0.0011539741421030445,0.001333462414550013,0.0005
33,0.0011540463513326938,0.0013279909808261436,0.0005
34,0.0011540157731037605,0.0013119924115017056,0.0005
35,0.0011537880866175996,0.0013354280899875448,0.0005
36,0.0011537257185186812,0.0013173260540497722,0.0005
37,0.0011535967555172321,0.0013243133416835917,0.0005
38,0.0011535577010391965,0.0013135854060237762,0.00025
39,0.001139329589246368,0.0013103284582030028,0.00025
40,0.0011405199464601297,0.0013028695111643174,0.00025
